Pillar;Rate
3M;2.2565985333
6M;2.0839456893
9M;1.9773135355
1Y;1.9196608436
2Y;1.9613678627
3Y;2.1642950624
4Y;2.3774997261
5Y;2.5598491562
6Y;2.7047609334
7Y;2.8152386383
8Y;2.8961321397
9Y;2.9520301023
10Y;2.9868589753
11Y;3.0039267881
12Y;3.0060408436
13Y;2.9956088847
14Y;2.9747126876
15Y;2.9451606003
16Y;2.9085264371
17Y;2.8661798494
18Y;2.8193112297
19Y;2.768952875
20Y;2.715997387
21Y;2.6612138781
22Y;2.6052623476
23Y;2.5487064766
24Y;2.4920250332
25Y;2.4356220415
26Y;2.379835848
27Y;2.3249471987
28Y;2.2711864309
29Y;2.2187398712
30Y;2.1677555208
